 C2 CompilerThre 15501  3162.837627:        562                                                               LLC-loads:      7f1fdc9827ca CodeHeap::search_freelist+0x7a (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 15471  3166.707874:        572                                                               LLC-loads:      7f1fc537c993 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15470.map)
            java 15471  3166.707889:        295                                                         LLC-load-misses:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.707927:        572                                                               LLC-loads:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707941:        296                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707953:       3770                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.707979:        570                                                               LLC-loads:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708001:        296                                                         LLC-load-misses:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.708035:        569                                                               LLC-loads:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.708056:        292                                                         LLC-load-misses:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.708058:       3810                                                              mem-stores:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.708085:        564                                                               LLC-loads:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.708108:        290                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708109:       3789                                                              mem-stores:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.708136:        564                                                               LLC-loads:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
            java 15471  3166.708156:        290                                                         LLC-load-misses:      7f1fc537c9c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-15470.map)
            java 15471  3166.708158:       3783                                                              mem-stores:      7f1fc537c9c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-15470.map)
