            java 20419  4095.340057:       3224                                                        L1-dcache-stores:      7f1f05430c85 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x545 (/tmp/perf-20418.map)
            java 20419  4095.350103:         38                                                        LLC-store-misses:      7f1f054309f8 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2b8 (/tmp/perf-20418.map)
            java 20419  4095.357330:         64                                                        LLC-store-misses:      7f1f0543321c int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x2adc (/tmp/perf-20418.map)
            java 20419  4095.397739:         40                                                        LLC-store-misses:      7f1f0543141a int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0xcda (/tmp/perf-20418.map)
            java 20419  4095.401301:         34                                                        LLC-store-misses:      7f1f054310a0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x960 (/tmp/perf-20418.map)
            java 20419  4095.432567:         26                                                        LLC-store-misses:      7f1f05432212 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x1ad2 (/tmp/perf-20418.map)
            java 20419  4095.444236:         50                                                        LLC-store-misses:      7f1f054310c0 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x980 (/tmp/perf-20418.map)
            java 20419  4095.474662:         35                                                        LLC-store-misses:      7f1f0540a69b int pim.algorithm.TreeNode.search(int)+0x39fb (/tmp/perf-20418.map)
            java 20419  4095.478471:         34                                                        LLC-store-misses:      7f1f054082f5 int pim.algorithm.TreeNode.search(int)+0x1655 (/tmp/perf-20418.map)
            java 20419  4095.481631:         28                                                        LLC-store-misses:      7f1f0543233e int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x1bfe (/tmp/perf-20418.map)
            java 20419  4095.506602:         32                                                        LLC-store-misses:      7f1f05430b2f int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x3ef (/tmp/perf-20418.map)
            java 20419  4095.509891:         27                                                        LLC-store-misses:      7f1f05432d29 int pim.algorithm.DPUTreeNodeProxyAutoGen.search(int)+0x25e9 (/tmp/perf-20418.map)
