            java 13986  3026.074056:        420                                                               LLC-loads:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074077:      11284                                                              mem-stores:      7f7efdf78fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-13985.map)
            java 13986  3026.074102:        419                                                               LLC-loads:      7f7efdf78f09 int pim.algorithm.TreeNode.search(int)+0x109 (/tmp/perf-13985.map)
            java 13986  3026.074104:      10945                                                        L1-dcache-stores:      7f7efdf78f09 int pim.algorithm.TreeNode.search(int)+0x109 (/tmp/perf-13985.map)
            java 13986  3026.074132:      11228                                                              mem-stores:      7f7efdf78fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-13985.map)
            java 13986  3026.074153:        422                                                               LLC-loads:      7f7efdf790f3 int pim.algorithm.TreeNode.search(int)+0x2f3 (/tmp/perf-13985.map)
            java 13986  3026.074156:      10847                                                        L1-dcache-stores:      7f7efdf7902a int pim.algorithm.TreeNode.search(int)+0x22a (/tmp/perf-13985.map)
            java 13986  3026.074183:      11064                                                              mem-stores:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074202:        422                                                               LLC-loads:      7f7efdf79022 int pim.algorithm.TreeNode.search(int)+0x222 (/tmp/perf-13985.map)
            java 13986  3026.074205:      10769                                                        L1-dcache-stores:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074234:      11011                                                              mem-stores:      7f7efdf7932f int pim.algorithm.TreeNode.search(int)+0x52f (/tmp/perf-13985.map)
            java 13986  3026.074284:      10962                                                              mem-stores:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074354:      10745                                                        L1-dcache-stores:      7f7efdf79243 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-13985.map)
            java 13986  3026.074358:        415                                                               LLC-loads:      7f7efdf79243 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-13985.map)
            java 13986  3026.074406:        415                                                               LLC-loads:      7f7efdf79332 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-13985.map)
            java 13986  3026.074432:      10808                                                              mem-stores:      7f7efdf78e85 int pim.algorithm.TreeNode.search(int)+0x85 (/tmp/perf-13985.map)
            java 13986  3026.074448:      10679                                                        L1-dcache-stores:      7f7efdf78ef5 int pim.algorithm.TreeNode.search(int)+0xf5 (/tmp/perf-13985.map)
            java 13986  3026.074456:        416                                                               LLC-loads:      7f7efdf79016 int pim.algorithm.TreeNode.search(int)+0x216 (/tmp/perf-13985.map)
            java 13986  3026.074478:      10888                                                              mem-stores:      7f7efdf790fc int pim.algorithm.TreeNode.search(int)+0x2fc (/tmp/perf-13985.map)
            java 13986  3026.074494:      10808                                                        L1-dcache-stores:      7f7efdf79342 int pim.algorithm.TreeNode.search(int)+0x542 (/tmp/perf-13985.map)
            java 13986  3026.074503:        416                                                               LLC-loads:      7f7efdf78e20 int pim.algorithm.TreeNode.search(int)+0x20 (/tmp/perf-13985.map)
            java 13986  3026.074528:      10966                                                              mem-stores:      7f7efdf78fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-13985.map)
            java 13986  3026.074546:      10901                                                        L1-dcache-stores:      7f7efdf78f59 int pim.algorithm.TreeNode.search(int)+0x159 (/tmp/perf-13985.map)
            java 13986  3026.074554:        418                                                               LLC-loads:      7f7efdf790e6 int pim.algorithm.TreeNode.search(int)+0x2e6 (/tmp/perf-13985.map)
            java 13986  3026.074578:      10936                                                              mem-stores:      7f7efdf794ae int pim.algorithm.TreeNode.search(int)+0x6ae (/tmp/perf-13985.map)
            java 13986  3026.074607:        417                                                               LLC-loads:      7f7efdf78fea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-13985.map)
