            java  3905 17107.442447:        331                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.442483:        483                                                               LLC-loads:      7f0e3938d5ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-3904.map)
            java  3905 17107.442501:        331                                                         LLC-load-misses:      7f0e3938d4e7 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-3904.map)
            java  3905 17107.442537:        484                                                               LLC-loads:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.442552:        331                                                         LLC-load-misses:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.442593:        482                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.442610:        332                                                         LLC-load-misses:      7f0e3938d5c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-3904.map)
            java  3905 17107.442646:        478                                                               LLC-loads:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.442661:        328                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.442695:        478                                                               LLC-loads:      7f0e3938d5c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-3904.map)
            java  3905 17107.442711:        329                                                         LLC-load-misses:      7f0e3938d593 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-3904.map)
            java  3905 17107.442744:        481                                                               LLC-loads:      7f0e3938d5ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-3904.map)
            java  3905 17107.442761:        331                                                         LLC-load-misses:      7f0e3938d56d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-3904.map)
            java  3905 17107.442794:        484                                                               LLC-loads:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.442812:        332                                                         LLC-load-misses:      7f0e3938d5ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-3904.map)
            java  3905 17107.442848:        486                                                               LLC-loads:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.442864:        332                                                         LLC-load-misses:      7f0e3938d5bc int pim.algorithm.TreeNode.search(int)+0xfc (/tmp/perf-3904.map)
            java  3905 17107.442898:        485                                                               LLC-loads:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.442914:        332                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.442947:        487                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
