            java  4156   414.433077:        246                cache-misses:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.433087:     140664                      cycles:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.433107:        443            cache-references:      7f8745f7ca90 int pim.algorithm.TreeNode.search(int)+0x690 (/tmp/perf-4155.map)
            java  4156   414.433126:        249                cache-misses:      7f8745f7c51d int pim.algorithm.TreeNode.search(int)+0x11d (/tmp/perf-4155.map)
            java  4156   414.433136:     140751                      cycles:      7f8745f7c538 int pim.algorithm.TreeNode.search(int)+0x138 (/tmp/perf-4155.map)
            java  4156   414.433157:        444            cache-references:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.433175:        249                cache-misses:      7f8745f7c51d int pim.algorithm.TreeNode.search(int)+0x11d (/tmp/perf-4155.map)
            java  4156   414.433185:     140446                      cycles:      7f8745f7ca90 int pim.algorithm.TreeNode.search(int)+0x690 (/tmp/perf-4155.map)
            java  4156   414.433206:        444            cache-references:      7f8745f7ca80 int pim.algorithm.TreeNode.search(int)+0x680 (/tmp/perf-4155.map)
            java  4156   414.433225:        249                cache-misses:      7f8745f7c5e0 int pim.algorithm.TreeNode.search(int)+0x1e0 (/tmp/perf-4155.map)
            java  4156   414.433234:     140497                      cycles:      7f8745f7c843 int pim.algorithm.TreeNode.search(int)+0x443 (/tmp/perf-4155.map)
            java  4156   414.433257:        444            cache-references:      7f8745f7ca0a int pim.algorithm.TreeNode.search(int)+0x60a (/tmp/perf-4155.map)
            java  4156   414.433274:        249                cache-misses:      7f8745f7cb28 int pim.algorithm.TreeNode.search(int)+0x728 (/tmp/perf-4155.map)
            java  4156   414.433308:        443            cache-references:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.433323:        249                cache-misses:      7f8745f7c5e0 int pim.algorithm.TreeNode.search(int)+0x1e0 (/tmp/perf-4155.map)
            java  4156   414.433331:     140571                      cycles:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.433353:        442            cache-references:      7f8745f7ca80 int pim.algorithm.TreeNode.search(int)+0x680 (/tmp/perf-4155.map)
            java  4156   414.433369:        249                cache-misses:      7f8745f7cb1c int pim.algorithm.TreeNode.search(int)+0x71c (/tmp/perf-4155.map)
            java  4156   414.433407:        447            cache-references:      7f8745f7c5c6 int pim.algorithm.TreeNode.search(int)+0x1c6 (/tmp/perf-4155.map)
            java  4156   414.433421:        251                cache-misses:      7f8745f7c519 int pim.algorithm.TreeNode.search(int)+0x119 (/tmp/perf-4155.map)
            java  4156   414.433429:     140547                      cycles:      7f8745f7c958 int pim.algorithm.TreeNode.search(int)+0x558 (/tmp/perf-4155.map)
            java  4156   414.433459:        443            cache-references:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.433474:        250                cache-misses:      7f8745f7c6c8 int pim.algorithm.TreeNode.search(int)+0x2c8 (/tmp/perf-4155.map)
            java  4156   414.433509:        441            cache-references:      7f8745f7c5ea int pim.algorithm.TreeNode.search(int)+0x1ea (/tmp/perf-4155.map)
            java  4156   414.433527:     140243                      cycles:      7f8745f7c6fc int pim.algorithm.TreeNode.search(int)+0x2fc (/tmp/perf-4155.map)
            java  4156   414.433530:        249                cache-misses:      7f8745f7c932 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-4155.map)
            java  4156   414.433560:        441            cache-references:      7f8745f7c6f3 int pim.algorithm.TreeNode.search(int)+0x2f3 (/tmp/perf-4155.map)
            java  4156   414.433587:        246                cache-misses:      7f8745f7c420 int pim.algorithm.TreeNode.search(int)+0x20 (/tmp/perf-4155.map)
            java  4156   414.433613:        440            cache-references:      7f8745f7ca80 int pim.algorithm.TreeNode.search(int)+0x680 (/tmp/perf-4155.map)
