# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'LLC-load-misses'
# Event count (approx.): 3823068077
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                                 
# ........  ...............  ...................  .......................................................................................................................................................................................................
#
     0.00%  G1 Refine#4      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] MachNode::bottom_type
     0.00%  G1 Refine#5      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.00%  GC Thread#12     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] Node_Array::remove
     0.00%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::emit_exception_entries
     0.00%  GC Thread#10     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  GC Thread#0      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::has_special_unique_user
     0.00%  C2 CompilerThre  libjvm.so            [.] IntelJccErratum::tag_affected_machnodes
     0.00%  C2 CompilerThre  libjvm.so            [.] GrowableArrayWithAllocator<unsigned int, GrowableArray<unsigned int> >::grow
     0.00%  java             [kernel.kallsyms]    [k] page_fault
     0.00%  C2 CompilerThre  libjvm.so            [.] CallStaticJavaNode::uncommon_trap_request
     0.00%  GC Thread#2      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScanWalker::activate_current
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_early
     0.00%  VM Periodic Tas  libc-2.28.so         [.] _int_free
     0.00%  C2 CompilerThre  libjvm.so            [.] LiveRangeMap::compress_uf_map_for_nodes
     0.00%  GC Thread#21     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.00%  GC Thread#18     [kernel.kallsyms]    [k] copy_page
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::remove_empty_blocks
