# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 247K of event 'LLC-load-misses'
# Event count (approx.): 255920901
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::elide_copy
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_tree
     0.06%  GC Thread#15     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.05%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::bias_color
     0.05%  GC Thread#18     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseLive::add_liveout
     0.05%  C2 CompilerThre  libjvm.so            [.] NodeHash::hash_find_insert
     0.05%  C2 CompilerThre  libjvm.so            [.] Node::remove_dead_region
     0.05%  C2 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_lock
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::raise_pressure
     0.05%  GC Thread#12     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  GC Thread#0      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  C1 CompilerThre  libjvm.so            [.] InstanceKlass::find_method_index
     0.05%  C1 CompilerThre  libjvm.so            [.] SubstitutionResolver::block_do
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::subsume_node
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     0.05%  C2 CompilerThre  libjvm.so            [.] Node_Array::insert
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::skip_copies
     0.05%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  C2 CompilerThre  libjvm.so            [.] Node_Backward_Iterator::next
     0.05%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.04%  java             perf-8464.map        [.] int application.bst.TreeNode.search(int)
     0.04%  java             perf-8464.map        [.] java.lang.Object application.bst.BSTTester.lambda$queryInTree$0(java.util.concurrent.atomic.AtomicInteger, java.lang.Integer, int[])
     0.04%  GC Thread#10     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.04%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::init
     0.04%  GC Thread#21     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.04%  C1 CompilerThre  libjvm.so            [.] CodeEmitInfo::record_debug_info
     0.04%  C2 CompilerThre  libjvm.so            [.] OopFlow::compute_reach
     0.04%  C2 CompilerThre  libjvm.so            [.] PhaseAggressiveCoalesce::coalesce
     0.04%  C2 CompilerThre  [kernel.kallsyms]    [k] get_page_from_freelist
     0.04%  GC Thread#5      libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.04%  java             [kernel.kallsyms]    [k] page_fault
     0.04%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::fill_buffer
     0.04%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::de_ssa
     0.04%  C2 CompilerThre  libjvm.so            [.] Matcher::xform
     0.04%  DPU_POLL_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.04%  C1 CompilerThre  libjvm.so            [.] BlockBegin::iterate_preorder
     0.04%  C2 CompilerThre  libjvm.so            [.] Type::cmp
     0.04%  GC Thread#5      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.04%  java             perf-8464.map        [.] int java.lang.Integer.parseInt(java.lang.String, int)
     0.04%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::remove_node_if_not_used
     0.04%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::ideal_reg
     0.04%  C1 CompilerThre  libjvm.so            [.] Invoke::input_values_do
     0.04%  GC Thread#3      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.04%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::stretch_base_pointer_live_ranges
     0.04%  C2 CompilerThre  libjvm.so            [.] Node::jvms
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::transform_old
     0.03%  G1 Refine#0      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.03%  C2 CompilerThre  ld-2.28.so           [.] update_get_addr
     0.03%  C2 CompilerThre  libjvm.so            [.] Node::clone
     0.03%  C2 CompilerThre  libjvm.so            [.] RegMask::is_vector
     0.03%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::append
     0.03%  C2 CompilerThre  libjvm.so            [.] Node::add_req
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::build_ifg_virtual
     0.03%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.03%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::oper_input_base
     0.03%  GC Thread#1      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.03%  C2 CompilerThre  libjvm.so            [.] RegionNode::is_unreachable_from_root
     0.03%  C1 CompilerThre  libjvm.so            [.] LinearScan::sort_intervals_after_allocation
     0.03%  GC Thread#6      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.03%  java             libjvm.so            [.] InstanceKlass::find_method_index
     0.03%  C1 CompilerThre  libjvm.so            [.] non-virtual thunk to SubstitutionResolver::visit(Instruction**)
     0.03%  G1 Refine#1      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.03%  C2 CompilerThre  libjvm.so            [.] InstanceKlass::find_method_index
