# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'LLC-load-misses'
# Event count (approx.): 4082090216
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::bias_color
     0.00%  C1 CompilerThre  libjvm.so            [.] LinearScan::sort_intervals_before_allocation
     0.00%  GC Thread#4      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  GC Thread#15     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  GC Thread#12     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  DPU_WORK_0400    [kernel.kallsyms]    [k] __x64_sys_futex
     0.00%  java             perf-3680.map        [.] framework.pim.dpu.cache.DPUMethodLookupTableItem framework.pim.dpu.DPULookupTableManagerUPMEM.getMethodLookupTableItem(java.lang.String, java.lang.String)
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::remove_dead_region
     0.00%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  java             [kernel.kallsyms]    [k] _raw_spin_unlock_irqrestore
     0.00%  DPU_WORK_0100    [kernel.kallsyms]    [k] futex_wait
     0.00%  DPU_WORK_0000    [kernel.kallsyms]    [k] __x64_sys_futex
     0.00%  java             [kernel.kallsyms]    [k] pick_next_task_idle
     0.00%  C2 CompilerThre  [kernel.kallsyms]    [k] get_page_from_freelist
     0.00%  GC Thread#9      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.00%  DPU_WORK_0100    [kernel.kallsyms]    [k] __x64_sys_futex
     0.00%  java             libdpu.so.0.0        [.] dpu_thread_job_get_jobs
     0.00%  C2 CompilerThre  libjvm.so            [.] NodeHash::hash_find_insert
     0.00%  java             libpthread-2.28.so   [.] __condvar_confirm_wakeup
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::transform_old
     0.00%  GC Thread#8      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.00%  DPU_WORK_0200    libpthread-2.28.so   [.] __pthread_mutex_cond_lock
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::subsume_node
